question,passage,seq_label
"['Apa', 'nama', 'latin', 'dari', 'harimau', 'Sumatera', '?']","['Selain', 'orangutan', ',', 'satwa', 'yang', 'berada', 'TNGL', 'itu', 'di', 'antaranya', 'adalah', 'harimau', 'sumatera', '(', 'Panthera', 'tigris', 'sumatrensis', ')', '.', 'Tim', 'Kompas', 'bulan', 'lalu', 'pernah', 'memergoki', 'harimau', 'ini', 'di', 'tepi', 'jalan', 'raya', 'Tapaktuan-Singkil', ',', 'tepatnya', 'di', 'Desa', 'Sultan', 'Daulat', ',', 'yang', 'masuk', 'koridor', 'ekosistem', 'Leuser', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Berapa', 'penumpang', 'yang', 'turut', 'dalam', 'penerbangan', 'GA', '-', '181', 'jurusan', 'Medan-Jakarta', 'yang', 'mendarat', 'darurat', 'di', 'Bandar', 'Udara', 'Sultan', 'Syarif', 'Kasim', 'II', 'Pekanbaru', ',', 'Riau', 'pada', 'tanggal', '6', 'September', '2005', '?']","['Pesawat', 'dengan', 'nomor', 'penerbangan', 'GA', '-', '181', 'yang', 'membawa', '84', 'penumpang', ',', 'termasuk', 'Menteri', 'Sosial', 'Bachtiar', 'Chamsyah', 'dan', 'sejumlah', 'anggota', 'Komisi', 'V', 'DPR', ',', 'ini', 'terpaksa', 'mendarat', 'darurat', 'karena', 'terjadi', 'kerusakan', 'pada', 'mesin', 'di', 'sayap', 'kanan', ',', '40', 'menit', 'setelah', 'lepas', 'landas', 'dari', 'Bandar', 'Udara', 'Polonia', ',', 'Medan', ',', 'Sumatera', 'Utara', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Kepala', 'Badan', 'apakah', 'Mohamed', 'ElBaradei', '?']","['Pernyataan', 'tersebut', 'disampaikan', 'Larijani', 'dalam', 'acara', 'konferensi', 'pers', 'setelah', 'ia', 'melakukan', 'pertemuan', 'dengan', 'Kepala', 'Badan', 'Tenaga', 'Atom', 'Internasional', '(', 'IAEA', ')', 'Mohamed', 'ElBaradei', 'di', 'kantor', 'pusat', 'badan', 'pengawas', 'nuklir', 'PBB', 'itu', 'di', 'Vienna', ',', 'Jumat', '(', '26/8', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Berapa', 'kalikah', 'Lin', 'Dan', 'gagal', 'memainkan', 'netting', 'saat', 'melawan', 'Taufik', 'Hidayat', 'di', 'Kejuaraan', 'Dunia', 'Bulu', 'Tangkis', '?']","['Tak', 'seperti', 'yang', 'diharapkan', ',', 'partai', 'impian', 'antara', 'Taufik', 'dan', 'rival', 'utamanya', ',', 'Lin', 'Dan', ',', 'dari', 'China', ',', 'tidak', 'berlangsung', 'seru', '.', 'Tampil', 'buruk', ',', 'flat', 'footed', ',', 'paling', 'tidak', 'Lin', 'Dan', '15', 'kali', 'gagal', 'memainkan', 'netting', '(', '10', 'di', 'antaranya', 'berbuah', 'angka', 'bagi', 'Taufik', ')', 'dan', 'kalah', '3-15', ',', '7-15', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Apakah', 'nama', 'fakultas', 'tempat', 'Drh', 'Yuda', 'Heru', 'Fibrianto', 'MS', 'menjadi', 'dosen', '?']","['Yogyakarta', ',', 'Kompas', '-', 'Drh', 'Yuda', 'Heru', 'Fibrianto', 'MS', ',', 'dosen', 'Fakultas', 'Kedokteran', 'Hewan', 'UGM', 'yang', 'sedang', 'tugas', 'belajar', 'di', 'Seoul', 'National', 'University', ',', 'turut', 'ambil', 'bagian', 'dalam', 'keberhasilan', 'pengkloningan', 'anjing', '.', 'Kloning', 'anjing', 'ini', 'adalah', 'yang', 'pertama', 'di', 'dunia', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Berapa', 'jumlah', 'suku', 'yang', 'tinggal', 'di', 'sekitar', 'pantai', 'selatan', 'dan', 'utara', 'serta', 'di', 'pedalaman', 'hutan', 'yang', 'terpencil', 'Papua', '?']","['Papua', 'tak', 'hanya', 'secara', 'geografis', 'memiliki', 'wilayah', 'yang', 'luas', '(', 'luas', 'daratan', '410.660', 'kilometer', 'persegi', ')', ',', 'tetapi', 'juga', 'memiliki', 'khazanah', 'kebudayaan', 'yang', 'unik', 'dan', 'rumit', '.', 'Sejauh', 'yang', 'bisa', 'diidentifikasi', ',', 'tercatat', 'tak', 'kurang', 'dari', '253', 'suku', 'yang', 'tinggal', 'di', 'sekitar', 'pantai', 'selatan', 'dan', 'utara', 'serta', 'di', 'pedalaman', 'hutan', 'yang', 'terpencil', '.', 'Ini', 'tantangan', 'terbesar', 'penyelenggaraan', 'Pesta', 'Budaya', 'Papua', 'yang', 'telah', 'digulirkan', 'sejak', 'empat', 'tahun', 'lalu', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Siapakah', 'nama', 'wakil', 'presiden', 'Dialog', 'Inter', 'Amerika', '?']","['Sementara', 'itu', 'di', 'Amerika', 'Latin', 'muncul', 'peningkatan', 'rasa', 'benci', 'kepada', 'AS', '.', 'Michael', 'Shifter', ',', 'Wakil', 'Presiden', 'Dialog', 'Inter', 'Amerika', ',', 'mengatakan', ',', 'terlihat', 'kebijakan', 'AS', 'yang', 'membingungkan', 'terhadap', 'Venezuela', ',', 'salah', 'satu', 'pemasok', 'minyak', 'terbesar', 'ke', 'AS', '.', '(', 'AFP', '/', 'AP', '/', 'MON', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Sedang', 'tugas', 'belajar', 'dimanakah', 'Drh', 'Yuda', 'Heru', 'Fibrianto', 'MS', ',', 'dosen', 'Fakultas', 'Kedokteran', 'Hewan', 'UGM', '?']","['Tim', 'Seoul', 'National', 'University', ',', 'Korea', 'Selatan', ',', 'beranggotakan', '11', 'orang', 'yang', 'dipimpin', 'Prof', 'Hwang', 'Woo', 'Suk', 'ini', 'sukses', 'mengkloning', 'anjing', 'jenis', 'Afganistan', '.', 'Hasil', 'kloning', 'yang', 'lahir', 'pada', '24', 'April', '2005', 'ini', 'diberi', 'nama', 'Snuppy', '-', 'singkatan', 'dari', 'Seoul', 'National', 'University', 'Puppy', '.', 'Anjing', 'selama', 'ini', 'dianggap', 'sulit', 'dikloning', '.']","['O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Pada', 'saat', 'ini', ',', 'berapakah', 'jumlah', 'penyu', 'belimbing', 'yang', 'terdapat', 'di', 'pantai', 'Jamursbamedi']","['Saat', 'ini', 'lebih', 'dari', '4.000', 'ekor', 'penyu', 'belimbing', 'terdapat', 'di', 'pantai', 'Jamursbamedi', '.', 'Penyu', 'belimbing', 'memiliki', 'karapas', 'dengan', 'pola', 'bergaris-garis', 'seperti', 'buah', 'belimbing', '.', 'Secara', 'ekologis', ',', 'satwa', 'ini', 'digolongkan', 'dalam', 'kelompok', 'reptil', ',', 'family', 'Demorchelyidae', '.']","['O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Apakah', 'nama', 'latin', 'dari', 'penyu', 'hijau']","['Wilayah', 'ini', 'juga', 'potensial', 'bagi', 'peneluran', 'penyu', 'hijau', '(', 'Chelonia', 'mydas', ')', ',', 'penyu', 'sisik', '(', 'Eretmochelys', 'imbricata', ')', ',', 'dan', 'penyu', 'sisik', 'semu', '(', 'Lepidochelys', 'olivacea', ')', ',', 'kata', 'Benja', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
